2025-12-18 14:22:40 status half-installed libpam-runtime:all 1.7.0-5
2025-12-18 14:22:40 status unpacked libpam-runtime:all 1.7.0-5
2025-12-18 14:22:40 install libpam0g:amd64 <none> 1.7.0-5
2025-12-18 14:22:40 status half-installed libpam0g:amd64 1.7.0-5
2025-12-18 14:22:40 status unpacked libpam0g:amd64 1.7.0-5
2025-12-18 14:22:40 install libpcre2-8-0:amd64 <none> 10.46-1~deb13u1
2025-12-18 14:22:40 status half-installed libpcre2-8-0:amd64 10.46-1~deb13u1
2025-12-18 14:22:40 status unpacked libpcre2-8-0:amd64 10.46-1~deb13u1
2025-12-18 14:22:40 install libseccomp2:amd64 <none> 2.6.0-2
2025-12-18 14:22:40 status half-installed libseccomp2:amd64 2.6.0-2
2025-12-18 14:22:40 status unpacked libseccomp2:amd64 2.6.0-2
2025-12-18 14:22:40 install libselinux1:amd64 <none> 3.8.1-1
2025-12-18 14:22:40 status half-installed libselinux1:amd64 3.8.1-1
2025-12-18 14:22:40 status unpacked libselinux1:amd64 3.8.1-1
2025-12-18 14:22:40 install libsemanage-common:all <none> 3.8.1-1
2025-12-18 14:22:40 status half-installed libsemanage-common:all 3.8.1-1
2025-12-18 14:22:40 status unpacked libsemanage-common:all 3.8.1-1
2025-12-18 14:22:40 install libsemanage2:amd64 <none> 3.8.1-1
2025-12-18 14:22:40 status half-installed libsemanage2:amd64 3.8.1-1
2025-12-18 14:22:40 status unpacked libsemanage2:amd64 3.8.1-1
2025-12-18 14:22:41 install libsepol2:amd64 <none> 3.8.1-1
2025-12-18 14:22:41 status half-installed libsepol2:amd64 3.8.1-1
2025-12-18 14:22:41 status unpacked libsepol2:amd64 3.8.1-1
2025-12-18 14:22:41 install libsmartcols1:amd64 <none> 2.41-5
2025-12-18 14:22:41 status half-installed libsmartcols1:amd64 2.41-5
2025-12-18 14:22:41 status unpacked libsmartcols1:amd64 2.41-5
2025-12-18 14:22:41 install libsqlite3-0:amd64 <none> 3.46.1-7
2025-12-18 14:22:41 status half-installed libsqlite3-0:amd64 3.46.1-7
2025-12-18 14:22:41 status unpacked libsqlite3-0:amd64 3.46.1-7
2025-12-18 14:22:41 install libssl3t64:amd64 <none> 3.5.4-1~deb13u1
2025-12-18 14:22:41 status half-installed libssl3t64:amd64 3.5.4-1~deb13u1
2025-12-18 14:22:41 status unpacked libssl3t64:amd64 3.5.4-1~deb13u1
2025-12-18 14:22:41 install libstdc++6:amd64 <none> 14.2.0-19
2025-12-18 14:22:41 status half-installed libstdc++6:amd64 14.2.0-19
2025-12-18 14:22:41 status unpacked libstdc++6:amd64 14.2.0-19
2025-12-18 14:22:41 install libsystemd0:amd64 <none> 257.9-1~deb13u1
2025-12-18 14:22:41 status half-installed libsystemd0:amd64 257.9-1~deb13u1
2025-12-18 14:22:41 status unpacked libsystemd0:amd64 257.9-1~deb13u1
2025-12-18 14:22:41 install libtinfo6:amd64 <none> 6.5+20250216-2
2025-12-18 14:22:41 status half-installed libtinfo6:amd64 6.5+20250216-2
2025-12-18 14:22:41 status unpacked libtinfo6:amd64 6.5+20250216-2
2025-12-18 14:22:41 install libudev1:amd64 <none> 257.9-1~deb13u1
2025-12-18 14:22:41 status half-installed libudev1:amd64 257.9-1~deb13u1
2025-12-18 14:22:41 status unpacked libudev1:amd64 257.9-1~deb13u1
2025-12-18 14:22:41 install libuuid1:amd64 <none> 2.41-5
2025-12-18 14:22:41 status half-installed libuuid1:amd64 2.41-5
2025-12-18 14:22:41 status unpacked libuuid1:amd64 2.41-5
2025-12-18 14:22:41 install libxxhash0:amd64 <none> 0.8.3-2
2025-12-18 14:22:41 status half-installed libxxhash0:amd64 0.8.3-2
2025-12-18 14:22:41 status unpacked libxxhash0:amd64 0.8.3-2
2025-12-18 14:22:42 install libzstd1:amd64 <none> 1.5.7+dfsg-1
2025-12-18 14:22:42 status half-installed libzstd1:amd64 1.5.7+dfsg-1
2025-12-18 14:22:42 status unpacked libzstd1:amd64 1.5.7+dfsg-1
2025-12-18 14:22:42 install login:amd64 <none> 1:4.16.0-2+really2.41-5
2025-12-18 14:22:42 status half-installed login:amd64 1:4.16.0-2+really2.41-5
2025-12-18 14:22:42 status unpacked login:amd64 1:4.16.0-2+really2.41-5
2025-12-18 14:22:42 install login.defs:all <none> 1:4.17.4-2
2025-12-18 14:22:42 status half-installed login.defs:all 1:4.17.4-2
2025-12-18 14:22:42 status unpacked login.defs:all 1:4.17.4-2
2025-12-18 14:22:42 upgrade mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2025-12-18 14:22:42 status half-configured mawk:amd64 1.3.4.20250131-1
2025-12-18 14:22:42 status unpacked mawk:amd64 1.3.4.20250131-1
2025-12-18 14:22:42 status half-installed mawk:amd64 1.3.4.20250131-1
2025-12-18 14:22:42 status unpacked mawk:amd64 1.3.4.20250131-1
2025-12-18 14:22:42 install mount:amd64 <none> 2.41-5
2025-12-18 14:22:42 status half-installed mount:amd64 2.41-5
2025-12-18 14:22:42 status unpacked mount:amd64 2.41-5
2025-12-18 14:22:42 install ncurses-base:all <none> 6.5+20250216-2
2025-12-18 14:22:42 status half-installed ncurses-base:all 6.5+20250216-2
2025-12-18 14:22:42 status unpacked ncurses-base:all 6.5+20250216-2
2025-12-18 14:22:42 install ncurses-bin:amd64 <none> 6.5+20250216-2
2025-12-18 14:22:42 status half-installed ncurses-bin:amd64 6.5+20250216-2
2025-12-18 14:22:42 status unpacked ncurses-bin:amd64 6.5+20250216-2
2025-12-18 14:22:42 install openssl-provider-legacy:amd64 <none> 3.5.4-1~deb13u1
2025-12-18 14:22:42 status half-installed openssl-provider-legacy:amd64 3.5.4-1~deb13u1
2025-12-18 14:22:42 status unpacked openssl-provider-legacy:amd64 3.5.4-1~deb13u1
2025-12-18 14:22:42 install passwd:amd64 <none> 1:4.17.4-2
2025-12-18 14:22:42 status half-installed passwd:amd64 1:4.17.4-2
2025-12-18 14:22:42 status unpacked passwd:amd64 1:4.17.4-2
2025-12-18 14:22:42 upgrade perl-base:amd64 5.40.1-6 5.40.1-6
2025-12-18 14:22:42 status half-configured perl-base:amd64 5.40.1-6
2025-12-18 14:22:42 status unpacked perl-base:amd64 5.40.1-6
2025-12-18 14:22:42 status half-installed perl-base:amd64 5.40.1-6
2025-12-18 14:22:43 status unpacked perl-base:amd64 5.40.1-6
